"id","name","created_at","updated_at"
300,"The Calling","2025-03-23 19:54:11","2025-03-23 19:54:11"
301,"Blink 182","2025-03-23 19:54:11","2025-03-23 19:54:11"
302,"INXS","2025-03-23 19:54:11","2025-03-23 19:54:11"
303,"Glen Cambell","2025-03-23 19:54:11","2025-03-23 19:54:11"
304,"Stevie Ray Vaughan","2025-03-23 19:54:11","2025-03-23 19:54:11"
305,"David Lee Roth","2025-03-23 19:54:11","2025-03-23 19:54:11"
306,"Chasity Hackett ","2025-03-23 19:54:11","2025-03-23 19:54:11"
307,"Gnags","2025-03-23 19:54:11","2025-03-23 19:54:11"
308,"Foo fighters","2025-03-23 19:54:11","2025-03-23 19:54:11"
309,"Otis Redding","2025-03-23 19:54:11","2025-03-23 19:54:11"
310,"Woody Guthrie","2025-03-23 19:54:11","2025-03-23 19:54:11"
311,"Janis Joplin","2025-03-23 19:54:11","2025-03-23 19:54:11"
312,"Ronan Keating","2025-03-23 19:54:11","2025-03-23 19:54:11"
313,"Grethe & Jörgen Ingmann","2025-03-23 19:54:11","2025-03-23 19:54:11"
314,"Ryan Adams","2025-03-23 19:54:11","2025-03-23 19:54:11"
315,"Joan Osbourne","2025-03-23 19:54:11","2025-03-23 19:54:11"
316,"Lenny Kravitz","2025-03-23 19:54:11","2025-03-23 19:54:11"
317,"Pulp","2025-03-23 19:54:11","2025-03-23 19:54:11"
318,"The Box Tops","2025-03-23 19:54:11","2025-03-23 19:54:11"
319,"Talking Heads","2025-03-23 19:54:11","2025-03-23 19:54:11"
320,"Tommy Seebach","2025-03-23 19:54:11","2025-03-23 19:54:11"
321,"Emmylou Harris, Alison Krauss and Gillian Welch","2025-03-23 19:54:11","2025-03-23 19:54:11"
322,"Steppenwolf","2025-03-23 19:54:11","2025-03-23 19:54:11"
323,"Lucas Graham","2025-03-23 19:54:11","2025-03-23 19:54:11"
324,"Apacha","2025-03-23 19:54:11","2025-03-23 19:54:11"
325,"Tørfisk","2025-03-23 19:54:11","2025-03-23 19:54:11"
326,"Lars Lilholt","2025-03-23 19:54:11","2025-03-23 19:54:11"
327,"Steve Miller Band","2025-03-23 19:54:11","2025-03-23 19:54:11"
328,"Creedence Clearwater Revival","2025-03-23 19:54:11","2025-03-23 19:54:11"
329,"Rugsted & Kreutzfelt","2025-03-23 19:54:11","2025-03-23 19:54:11"
